epoch;accuracy;loss;val_accuracy;val_loss
0;0.09642207622528076;2.306913137435913;0.1283292919397354;2.303135395050049
1;0.11704063415527344;2.3000056743621826;0.1428571492433548;2.301957607269287
2;0.12916919589042664;2.2954041957855225;0.09200968593358994;2.2994320392608643
3;0.11946634203195572;2.290804386138916;0.08232445269823074;2.294236660003662
4;0.15645845234394073;2.277250289916992;0.1501210629940033;2.2793965339660645
5;0.22134627401828766;2.2478675842285156;0.37530267238616943;2.2468371391296387
6;0.24196483194828033;2.205209255218506;0.2639225125312805;2.1984243392944336
7;0.3020012080669403;2.13547420501709;0.37530267238616943;2.1077957153320312
8;0.35779261589050293;2.028045892715454;0.49394673109054565;1.9887925386428833
9;0.4050939977169037;1.9048566818237305;0.5665859580039978;1.8821207284927368
10;0.4548211097717285;1.7710620164871216;0.5108959078788757;1.693291187286377
11;0.5033353567123413;1.6597694158554077;0.5133171677589417;1.5627059936523438
12;0.5263796448707581;1.5173101425170898;0.6101694703102112;1.4123594760894775
13;0.5579138994216919;1.4347012042999268;0.619854748249054;1.3204951286315918
14;0.5682231783866882;1.3485158681869507;0.6464890837669373;1.2358535528182983
15;0.5918738842010498;1.2869800329208374;0.6973365545272827;1.195397973060608
16;0.6137052774429321;1.22580087184906;0.6610169410705566;1.1492465734481812
17;0.6112795472145081;1.1963881254196167;0.6900726556777954;1.0678859949111938
18;0.6440266966819763;1.1392943859100342;0.6924939751625061;1.0174505710601807
19;0.6525166630744934;1.1039059162139893;0.7094430923461914;0.9979538321495056
20;0.6561552286148071;1.0761876106262207;0.7094430923461914;0.9610010385513306
21;0.659187376499176;1.0519520044326782;0.7239709496498108;0.9264318943023682
22;0.6725288033485413;1.0071759223937988;0.7457627058029175;0.8848229646682739
23;0.6846573948860168;0.9850732088088989;0.7312348484992981;0.8792856931686401
24;0.6864766478538513;0.9572528004646301;0.7263922691345215;0.8624323010444641
25;0.6882959604263306;0.9375210404396057;0.7336561679840088;0.8505585789680481
26;0.712553083896637;0.9130347967147827;0.7481840252876282;0.8128569722175598
27;0.7174044847488403;0.9015483856201172;0.7384988069534302;0.8141143918037415
28;0.7204366326332092;0.8742835521697998;0.7748184204101562;0.7876341342926025
29;0.712553083896637;0.8869815468788147;0.7723971009254456;0.7871751189231873
30;0.7386294603347778;0.8492216467857361;0.7602905631065369;0.7871444821357727
31;0.7155852317810059;0.8530888557434082;0.7845036387443542;0.7710250020027161
32;0.7477259039878845;0.8251630663871765;0.7845036387443542;0.7547083497047424
33;0.7374166250228882;0.8178853988647461;0.7554479241371155;0.7561097741127014
34;0.73256516456604;0.818239152431488;0.7651331424713135;0.7452789545059204
35;0.73256516456604;0.8205220699310303;0.7869249582290649;0.7319073677062988
36;0.7556094527244568;0.7862207293510437;0.7893462181091309;0.7159318327903748
37;0.7537901997566223;0.761142373085022;0.7869249582290649;0.7057278156280518
38;0.7537901997566223;0.7757804989814758;0.7917675375938416;0.7056924104690552
39;0.7683444619178772;0.7408510446548462;0.7869249582290649;0.6970759630203247
40;0.7622801661491394;0.7584900856018066;0.7675544619560242;0.710902750492096
41;0.768950879573822;0.7366592288017273;0.7772396802902222;0.6901131868362427
42;0.7568222880363464;0.7300848960876465;0.7796609997749329;0.6981725096702576
43;0.7610673308372498;0.7250233888626099;0.7796609997749329;0.6868076324462891
44;0.7792601585388184;0.6897991895675659;0.7869249582290649;0.6685729026794434
45;0.7774408459663391;0.7018094062805176;0.7941888570785522;0.6650257706642151
46;0.7841115593910217;0.694602370262146;0.7845036387443542;0.6601976752281189
47;0.7750151753425598;0.7006616592407227;0.7869249582290649;0.6600308418273926
48;0.7780473232269287;0.6749748587608337;0.7990314960479736;0.6495465040206909
49;0.7816858887672424;0.6680108904838562;0.7990314960479736;0.6451138257980347
50;0.7816858887672424;0.6630614399909973;0.7869249582290649;0.6375855207443237
51;0.799878716468811;0.6666191816329956;0.7990314960479736;0.6369422078132629
52;0.8083686828613281;0.649472713470459;0.7820823192596436;0.6475231051445007
53;0.7992722988128662;0.6440284848213196;0.8062953948974609;0.6313992142677307
54;0.791388750076294;0.6575542688369751;0.7990314960479736;0.6325796842575073
55;0.8083686828613281;0.6149092316627502;0.8062953948974609;0.6130706667900085
56;0.8010915517807007;0.6191258430480957;0.8111380338668823;0.6113845705986023
57;0.8126137256622314;0.5901446342468262;0.8038740754127502;0.6065817475318909
58;0.8126137256622314;0.6133383512496948;0.8062953948974609;0.6049306392669678
59;0.8071558475494385;0.6012356877326965;0.8062953948974609;0.6082097291946411
60;0.8144329786300659;0.590135395526886;0.8087167143821716;0.6054707169532776
0;0.1127956360578537;2.3044826984405518;0.09200968593358994;2.3030357360839844
1;0.115827776491642;2.300123691558838;0.08232445269823074;2.3027186393737793
2;0.11643420159816742;2.298227071762085;0.07748184353113174;2.301378011703491
